SetToDash,Name,UsageCount,Guess,ActualPositionId
,Mekanik Montaj Ekipbaşı,4,,4ddc58d5-6503-4e26-8606-08ded5cff1a6
,Mekanik Süpervizörü,4,,6639ce76-dd24-436c-850b-08ded5cff1a6
,Mekanik Teknisyen,4,,561ebf64-430c-49a0-9ad6-08ded5cfb542
,MEKANİK MONTAJ EKİPBAŞI,4,,e780641f-4565-4c37-8390-08ded5cff1a6
,Mobilization EDG and Transfer Switching,4,,0fa843b5-c881-45d1-84f6-08ded5cff1a6
,Mobilya Montaj İşçisi,4,,4dac663a-2096-4896-845a-08ded5cff1a6
,Proje Kontrol Uzmanı,4,,13d8d130-7e18-451b-8710-08ded5cff1a6
,Proje Kontrol Şefi,4,,5e121621-e4dd-4dbb-83b2-08ded5cff1a6
,Proje Koordinatörü,4,,e445594f-9bb9-4442-843e-08ded5cff1a6
,Proje müdür yardımcısı,4,,2d64874f-f037-4ded-9b13-08ded5cfb542
,Proje uzman yardımcısı,4,,9cdcfa81-2aab-4834-9b0a-08ded5cfb542
,Satınalma Şefi,4,,c1178c4c-7894-4ddd-83f5-08ded5cff1a6
,Technical Field Advisor,4,,96298e7e-a93a-4349-855f-08ded5cff1a6
,Teknik Denetim Şefi,4,,d836aff6-cf3f-4fd5-9b87-08ded5cfb542
,İnşaat mühendisi,4,,67fba8f1-fdbb-40f0-8594-08ded5cff1a6
,258-,3,,c2d38174-d976-4ca5-4968-08ded3809e91
,Aşçı,3,,0e6fed46-9d9d-4861-9afe-08ded5cfb542
,Balkanabat elektrik santralı,3,,b286be70-a2a9-4898-83b3-08ded5cff1a6
,Borucu postabaşı,3,,3aa7c949-51dd-45e4-9b1b-08ded5cfb542
,BORULAMA FORMENİ,3,,667709ff-33e6-4db8-9b35-08ded5cfb542
,Commissioning engineer,3,,87213a05-3bb8-45ce-8612-08ded5cff1a6
,Compressed Air System (Basınçlı Hava Sistemi) montaj ve devreye alma çalışmaları,3,review,d789ae76-ba7b-435c-85ae-08ded5cff1a6
,Düşük voltaj trafolarının montaj ve devreye alma çalışması,3,review,a6d168a4-745d-4402-835f-08ded5cff1a6
,Field Service Representative (Siemens Energy Turbomachinery AS),3,review,3dfcb780-92ff-4503-83cc-08ded5cff1a6
,gaz türbini soğutma sistemi uzmanları,3,,cbd0cbcb-5871-48f8-85f4-08ded5cff1a6
,JOİNTER,3,,78017233-cb86-40d9-8428-08ded5cff1a6
,JOİNTER/SUPERVİZOR,3,review,50fec838-4384-44a6-84ae-08ded5cff1a6
,Kalite kontrol mühendisi,3,,66c43b25-4972-490c-84c9-08ded5cff1a6
,Kalite Kontrol İnspektörü,3,,a10b2d0e-4455-496b-9b2f-08ded5cfb542
,kaynak mühendisi,3,,afca1fe9-4f19-4802-849d-08ded5cff1a6
,Lead Engineer,3,,121e67d4-816e-4c80-8415-08ded5cff1a6
,Mekanik Formeni,3,,9b96d9ab-f582-47a2-9ada-08ded5cfb542
,Mekanik İşler Ekipbaşı,3,,cf18170d-cd59-4e29-9b32-08ded5cfb542
,Mekanik Şefi,3,,aeb84ad7-f113-45d6-85a1-08ded5cff1a6
,MHI Mechanical Supervisor,3,,1eee5d7a-5758-47ee-8655-08ded5cff1a6
,MOBİLYA MONTAJ,3,,6dd2847e-1a76-4c6d-854e-08ded5cff1a6
,montaj,3,,70abf809-cada-47c0-84a7-08ded5cff1a6
,Muhasebe Uzmanı,3,,7a2506e2-ae27-4761-9b85-08ded5cfb542
,PROJE KONTROL ŞEFİ,3,,45396533-1deb-4e19-866d-08ded5cff1a6
,PROJE MÜDÜRÜ,3,,12a2144a-9904-4425-8403-08ded5cff1a6
,RMS sistemini devreye alma,3,,45fea8b2-af14-4e73-845f-08ded5cff1a6
,Satın Alma Uzmanı,3,,184051fe-ab85-42a7-8523-08ded5cff1a6
,Satınalma müdürü,3,,8d399af9-6989-48a4-85e1-08ded5cff1a6
,Satınalma Uzmanı,3,,a8a7fad9-d43e-4089-84af-08ded5cff1a6
,Service worker/supervisor,3,review,ce38c7a6-81f4-4748-8673-08ded5cff1a6
,Söfor,3,,fc9205b5-91ec-4412-9b77-08ded5cfb542
,Teknisyen,3,,86d49d8b-5f23-4ba5-83c9-08ded5cff1a6
,Topoğraf,3,,5860b464-86ca-4d46-9b7b-08ded5cfb542
,Türbin bakım ustası,3,,83d0ba40-6f37-4595-8405-08ded5cff1a6
,Vinç,3,,d4116fb5-19ce-48c9-9b78-08ded5cfb542
,ÇELİK MONTAJ EKİPBAŞI,3,,ff6e085e-dadc-4848-857f-08ded5cff1a6
,İnşaat Formeni,3,,2ef6608f-fa9f-42ea-9af7-08ded5cfb542
,İnşaat Teknikeri,3,,29339220-f213-4c51-847d-08ded5cff1a6
,İnşaat İşleri Şefi,3,,97bafb37-d12b-491b-9ae6-08ded5cfb542
,ŞANTİYE ŞEFİ,3,,c722eee9-848a-4249-9af6-08ded5cfb542
,Инженер,3,,e3e30d66-026c-4b91-844f-08ded5cff1a6
,...,2,review,d16e2348-1ec3-447b-83bb-08ded5cff1a6
,1007-,2,,26643346-df20-4528-4997-08ded3809e91
,2263-,2,,80393905-91ee-4514-49ea-08ded3809e91
,263-,2,,ec3fa2fd-b799-4439-49c1-08ded3809e91
,500kV Circuit Breaker expert,2,,abf8bb84-4e7f-4a43-8661-08ded5cff1a6
,Ahal WTP Tesisinin Devreye Alınması,2,,786f65dc-382a-4151-8524-08ded5cff1a6
,Aktüator montaj,2,,4c999f22-a5ef-47ef-85b8-08ded5cff1a6
,ambarcı,2,,765c66c5-eeae-4f8e-8531-08ded5cff1a6
,AVUKAT,2,,eab854cd-1b4b-4d41-9b60-08ded5cfb542
,Bakır kaynağı,2,,6fe5372c-6a7e-4e7a-8473-08ded5cff1a6
,Balkanabat Elektrık santralı,2,,7b0108c8-cbf9-4d8b-8512-08ded5cff1a6
,Boru Ekip Başı,2,,fd8e5dbf-8e30-4dc6-8607-08ded5cff1a6
,BORU EKİPBAŞI,2,,4214cebc-e659-4290-852a-08ded5cff1a6
,BORU FORMENİ,2,,123b8263-9ce8-4b80-8461-08ded5cff1a6
,Boru Montaj Ekipbaşı,2,,4b5d5468-5c6e-4765-9b43-08ded5cfb542
,Borulama Mühendisi,2,,4e94ea63-ad0b-400c-86c4-08ded5cff1a6
,BORULAMA MÜHENDİSİ,2,,3b5da7b1-9c33-4168-8552-08ded5cff1a6
,BORULAMA SÜPERVİZÖRÜ,2,,0de2a034-1c65-4e4d-83f8-08ded5cff1a6
,Circuit Breaker Supervisor,2,,ba443721-440b-4ea4-8522-08ded5cff1a6
,Commissioning Manager,2,,4f82f1ad-4654-4385-85f8-08ded5cff1a6
,Commissioning Mechanical Engineer,2,,afbbf52d-d2a1-4b74-868d-08ded5cff1a6
,Construction Manager,2,,897ae56d-8412-4fcc-85c1-08ded5cff1a6
,Credit-Suisse,2,,bbeb9059-a6aa-4f58-83a7-08ded5cff1a6
,DCS Engineer,2,,7f17a683-7554-4550-83d2-08ded5cff1a6
